c anaerobes
b 2670
b 251
b 1329
b 1946
b 159
b 722
b 2016
b 891
b 2199
b 2465
b 697
b 2027
b 1023
b 2141
b 1735
b 2610
b 561
b 1166
b 87
b 1703
b 2657
b 1491
b 148
b 1982
b 1166
b 321
b 81
b 843
b 909
b 14
b 2227
b 1359
b 135
b 2215
b 1825
b 1526
b 2723
b 2599
b 1047
b 1953
b 1017
b 2489
b 752
b 2587
b 1786
b 790
b 644
b 489
b 241
b 2520
b 706
b 796
b 1761
b 1197
b 2351
b 733
b 1842
b 1735
b 2043
b 1997
b 2671
b 515
b 307
b 1842
b 372
b 1913
b 2265
b 268
b 2678
b 133
b 483
b 1810
b 876
b 1930
b 366
b 2700
b 718
b 335
b 2659
b 2060
b 1987
b 2328
b 283
b 519
b 741
b 1294
b 197
b 78
b 2144
b 84
b 1580
b 1974
b 994
b 2646
b 420
b 2156
b 1834
b 1096
b 2692
b 696
b 910
b 1634
b 2406
b 2314
b 1551
b 1509
b 236
b 370
b 1306
b 1229
b 892
b 593
b 1367
b 213
b 183
b 2462
b 338
b 2522
b 2513
b 1080
b 1670
b 1989
b 516
b 505
b 1884
b 1950
b 2445
b 170
b 2705
b 2581
b 207
b 695
b 606
b 230
b 398
b 920
b 2464
b 162
b 715
b 5
b 1252
b 2155
b 1813
b 1279
b 1777
b 2187
b 1251
b 1025
b 867
b 1084
b 1354
b 358
b 2392
b 1465
b 460
b 1216
b 192
b 425
b 396
b 305
b 728
b 2028
b 2344
b 2133
b 1983
b 869
b 1351
b 1595
b 2680
b 615
b 1812
b 1547
b 562
b 290
b 571
b 2186
b 934
b 1738
b 1478
b 2639
b 2312
b 2581
b 1956
b 954
b 468
b 1774
b 2589
b 455
b 1166
b 1072
b 1468
b 2454
b 1643
b 1618
b 2699
b 2324
b 2020
b 1410
b 837
b 1135
b 996
b 1166
b 418
b 564
b 1766
b 1820
b 262
b 2392
b 1564
b 1429
b 1019
b 1004
b 1550
b 2537
b 1181
b 1560
b 2699
b 1748
b 2281
b 1103
b 1718
b 2529
b 1800
b 2112
b 2568
b 1654
b 66
b 2347
b 309
b 624
b 2375
b 35
b 1262
b 1139
b 1349
b 1796
b 1477
b 385
b 844
b 2035
b 586
b 2206
b 2628
b 1804
b 669
b 335
b 1023
b 1878
b 1894
b 1153
b 112
b 1622
b 1061
b 1708
p
b 2528
b 1288
b 264
b 957
b 987
b 1544
b 1385
b 1189
b 848
b 2574
b 1564
b 877
b 851
b 110
b 1512
b 1621
b 1909
b 2178
b 145
b 631
b 318
b 853
b 1331
b 1813
b 206
b 2536
b 1370
b 872
b 1633
b 1465
b 804
b 1888
b 1698
b 274
b 2087
b 1966
b 796
b 337
b 1314
b 1242
b 1769
b 406
b 2314
b 1752
b 324
b 2273
b 542
b 1175
b 41
b 2299
b 1901
b 2381
b 1650
b 454
b 2185
b 222
b 79
b 2580
b 1404
b 36
b 1320
b 1120
b 2177
b 2030
b 2572
b 288
b 1449
b 6
b 2617
b 224
b 1237
b 2692
b 2145
b 2652
b 929
b 616
b 777
b 2537
b 2445
b 1233
b 2322
b 78
b 1879
b 524
b 2673
b 1171
b 1498
b 678
b 1534
b 2025
b 1963
b 1574
b 1351
b 2110
b 666
b 2095
b 2549
b 966
b 2266
b 2292
b 1137
b 795
b 2093
b 271
b 1344
b 265
b 2651
b 975
b 148
b 1470
b 2451
b 2259
b 1921
b 2473
b 1069
b 146
b 1991
b 1836
b 2616
b 1205
b 2327
b 1899
b 2613
b 1168
b 877
b 1496
b 2286
b 365
b 1385
b 230
b 8
b 699
b 1519
b 164
b 1584
b 707
b 1139
b 1577
b 1414
b 1772
b 1573
b 806
b 1045
b 307
b 2590
b 1009
b 196
b 1774
b 547
b 2400
b 500
b 742
b 21
b 1560
b 2696
b 1067
b 1475
b 98
b 1901
b 1533
b 1288
b 2382
b 608
b 1851
b 442
b 79
b 2576
b 824
b 163
b 2383
b 1835
b 248
b 2299
b 500
b 925
b 572
b 2217
b 2032
b 2352
b 1588
b 1710
b 994
b 512
b 2179
b 2721
b 1336
b 1066
b 1775
b 1563
b 2502
b 2042
b 473
b 1370
b 1958
b 1594
b 2398
b 2510
b 549
b 2234
b 1086
b 2225
b 2174
b 2591
b 167
b 2001
b 1583
b 1951
b 1200
b 1094
b 1773
b 2139
b 2251
b 236
b 2279
b 2354
b 1046
b 1671
b 2653
b 1763
b 2088
b 2027
b 690
b 2358
b 1155
b 419
b 2603
b 93
b 16
b 899
b 24
b 2669
b 407
b 2674
b 1457
b 2090
b 818
b 2689
b 583
b 657
b 1209
b 1918
b 382
b 1939
b 1994
b 1531
b 1088
b 2582
b 2150
b 1604
b 2411
b 289
b 1876
b 682
b 1274
b 2031
b 547
b 2267
b 838
b 1059
b 1629
b 2248
b 495
b 379
b 1387
b 1815
b 1881
b 1199
b 2601
b 666
b 557
b 1644
b 793
b 1608
b 1746
b 1095
b 2710
b 2429
b 1338
b 144
b 474
b 1342
b 1338
b 61
b 1896
b 409
b 989
b 2635
b 1984
b 2330
b 2463
b 953
b 1505
b 1860
b 2484
b 2260
b 2175
b 2443
b 435
b 296
b 1400
b 68
b 147
b 865
b 1062
b 2212
b 2541
b 1408
b 1908
b 2194
b 2658
b 1923
b 102
b 2112
b 1128
b 1280
b 1380
b 1059
b 336
b 3
b 1621
b 1112
b 484
b 1287
b 435
b 141
b 1871
b 1371
b 1921
b 1578
b 839
b 2309
b 2302
b 1829
b 1666
b 2122
b 1488
b 2556
b 456
b 1467
b 979
b 2425
b 85
b 612
b 705
b 2136
b 1853
b 1240
b 453
b 2095
b 804
b 538
b 2247
b 1387
b 44
b 624
b 148
b 2655
b 1158
b 1256
b 864
b 1281
b 2152
b 1493
b 512
b 1258
b 326
b 701
b 2500
b 1360
b 2462
b 2360
b 2117
b 1695
b 685
b 2471
b 363
b 1994
b 1823
b 2245
b 351
b 2723
b 2191
b 2087
b 2022
b 285
b 1673
b 2583
b 797
b 983
b 1023
b 2400
b 291
b 608
b 1895
b 2702
b 526
b 1413
b 598
b 2506
b 165
b 2256
b 94
b 2051
b 492
b 1000
b 1693
b 2254
b 754
b 1856
b 321
b 788
b 474
b 1717
b 2646
b 2162
b 239
b 2663
b 1633
b 2198
b 750
b 2725
b 584
b 2226
b 2357
b 975
b 1286
b 2428
b 2324
b 2281
b 2361
b 2155
b 2458
b 505
b 2347
b 918
b 480
b 864
b 1206
b 51
b 1962
b 1570
b 455
b 1277
b 1424
b 275
b 1224
b 623
b 2692
b 2276
b 2521
b 2375
b 2077
b 1498
b 2590
b 594
b 2260
b 661
b 2553
b 1996
b 1411
b 818
b 1248
b 2113
b 1952
b 1775
b 99
b 1753
b 1938
b 1592
b 1170
b 858
b 2257
b 790
b 893
b 2309
b 1922
b 2023
b 871
b 2541
b 2455
b 522
b 2628
b 341
b 2552
b 1442
b 2685
b 2352
b 1477
b 479
b 759
b 2686
b 2628
b 1821
b 1933
b 1695
b 533
b 681
b 1646
b 1453
b 380
p
b 378
b 1883
b 1372
b 1089
b 1315
b 1360
b 2125
b 1847
b 2015
b 2710
b 1653
b 1916
b 1329
b 1167
b 972
b 842
b 984
b 234
b 1281
b 2706
b 832
b 161
b 2427
b 802
b 1555
b 2077
b 60
b 1003
b 2244
b 2663
b 2141
b 483
b 2249
b 1820
b 463
b 1503
b 2108
b 2461
b 1293
b 2057
b 415
b 763
b 2317
b 1649
b 82
b 1136
b 783
b 2135
b 887
b 1091
b 1563
b 1291
b 1669
b 660
b 1786
b 95
b 1311
b 197
b 1310
b 1842
b 346
b 2606
b 89
b 2493
b 980
b 532
b 2255
b 2182
b 1638
b 495
b 156
b 1662
b 2540
b 992
b 331
b 681
b 2660
b 1092
b 1298
b 1778
b 1618
b 1190
b 1720
b 1892
b 63
b 359
b 841
b 65
b 2208
b 1478
b 1076
b 2446
b 2003
b 1860
b 2120
b 2269
b 954
b 1336
b 2268
b 83
b 775
b 953
b 1387
b 885
b 2411
b 2128
b 2067
b 1634
b 1074
b 693
b 1005
b 1554
b 478
b 363
b 2494
b 2077
b 814
b 1185
b 2085
b 1512
b 2206
b 1099
b 109
b 573
b 491
b 1908
b 1154
b 2061
b 709
b 355
b 1186
b 1433
b 112
b 2156
b 1845
b 843
b 1883
b 1297
b 2654
b 41
b 512
b 478
b 847
b 1497
b 13
b 1980
b 1696
b 240
b 175
b 584
b 2244
b 544
b 1560
b 729
b 1596
b 436
b 2138
b 2519
b 530
b 2461
b 1210
b 205
b 2086
b 2466
b 2643
b 714
b 763
b 1033
b 2555
b 2027
b 2300
b 617
b 478
b 2131
b 1326
b 72
b 2292
b 2357
b 2216
b 1449
b 2387
b 2466
b 374
b 9
b 398
b 298
b 123
b 1798
b 2258
b 1795
b 726
b 2401
b 307
b 1851
b 2212
b 551
b 3
b 2430
b 2558
b 2025
b 140
b 741
b 963
b 941
b 59
b 125
b 2630
b 2044
b 989
b 1613
b 1152
b 739
b 241
b 934
b 669
b 878
b 1055
b 906
b 893
b 56
b 1034
b 1443
b 1731
b 1792
b 1045
b 1707
b 1204
b 2151
b 2635
b 485
b 342
b 2596
b 956
b 311
b 953
b 2322
b 795
b 851
b 1867
b 2472
b 295
b 814
b 725
b 2455
b 2700
b 1927
b 1604
b 2418
b 112
b 1741
b 506
b 2431
b 1227
b 1677
b 539
b 1527
b 539
b 40
b 1091
b 1183
b 1613
b 26
b 546
b 2503
b 69
b 1869
b 1386
b 1662
b 1041
b 852
b 1371
b 2716
b 1289
b 2020
b 6
b 994
b 1996
b 1574
b 1253
b 2324
b 2028
b 473
b 858
b 959
b 2461
b 865
b 1881
b 838
b 1145
b 832
b 888
b 793
b 1192
b 1800
b 1024
b 2702
b 382
b 2176
b 1263
b 2318
b 1689
b 367
b 220
b 2520
b 2019
b 230
b 591
b 2708
b 859
b 2428
b 2699
b 1912
b 10
b 1129
b 520
b 2136
b 1267
b 1071
b 2083
b 27
b 2148
b 920
b 1825
b 2356
b 2665
b 1985
b 2129
b 2271
b 1724
b 1708
b 1717
b 511
b 450
b 777
b 38
b 14
b 234
b 2299
b 839
b 1315
b 1740
b 2645
b 667
b 837
b 556
b 637
b 675
b 46
b 2075
b 138
b 2480
b 330
b 2354
b 815
b 2338
b 114
b 1461
b 671
b 1045
b 1401
b 897
b 2020
b 1080
b 1647
b 208
b 1577
b 2049
b 2359
b 1429
b 2482
b 1677
b 2486
b 1270
b 1438
b 430
b 2507
b 1592
b 2367
b 2086
b 552
b 684
b 2200
b 1502
b 1326
b 358
b 2195
b 217
b 262
b 821
b 1604
b 100
b 1306
b 2496
b 119
b 2587
b 1225
b 710
b 721
b 1623
b 1461
b 2618
b 1567
b 841
b 1988
b 1253
b 1628
b 1322
b 489
b 700
b 2544
b 2366
b 2425
b 921
b 1540
b 2500
b 890
b 2589
b 2143
b 1366
b 1771
b 1069
b 1403
b 1262
b 1408
b 2632
b 2357
b 1001
b 1243
b 1469
b 2542
b 2130
b 1208
b 558
b 1289
b 1231
b 2130
b 313
b 1772
b 2496
b 149
b 704
b 1155
b 1653
b 2710
b 621
b 1723
b 464
b 647
b 1453
b 1636
b 270
b 2021
b 1986
b 427
b 781
b 2287
b 2438
b 2399
b 1746
b 2019
b 1585
b 1525
b 912
b 921
b 2438
b 1692
b 2638
b 683
b 2290
b 1349
b 2704
b 2556
b 1265
b 1905
b 2389
b 2271
b 152
b 1785
b 804
b 477
b 2646
b 2554
b 1988
b 1987
b 436
b 7
b 2640
b 2686
b 107
b 311
b 1602
b 2147
b 2563
b 1346
b 672
b 1079
b 1597
b 1169
b 1842
p
q
